# Constructed from biom file
#OTU ID	A1JSBP1	A1SWBP1	A2SSBP2	A3JMBP4	T14MYBP2	T14OMBP2	T15SBBP4	T15WSBP4	T18JJBP5	T16RMBP5	taxonomy
1107619	0.0	1.0	0.0	3.0	0.0	155.0	5.0	0.0	359.0	759.0	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1); g__uncultured
735769	1250.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast
78950	103.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Diplorickettsiales; f__Diplorickettsiaceae; g__Aquicella
4431516	42.0	17.0	0.0	5.0	0.0	25.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Candidatus_Doudnabacteria; f__Candidatus_Doudnabacteria; g__Candidatus_Doudnabacteria; s__uncultured_bacterium
749696	0.0	189.0	0.0	17.0	0.0	534.0	30.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium
239787	0.0	1.0	9.0	15.0	0.0	325.0	38.0	0.0	534.0	494.0	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1)
319921	0.0	23.0	0.0	0.0	1046.0	32.0	0.0	0.0	0.0	1.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Alkanindiges; s__Moraxellaceae_bacterium
112867	0.0	5.0	221.0	1.0	821.0	136.0	4.0	0.0	1.0	11.0	d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96
243855	0.0	0.0	0.0	0.0	590.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Entotheonellaeota; c__Entotheonellia; o__Entotheonellales; f__Entotheonellaceae; g__Entotheonellaceae; s__uncultured_soil
2139819	0.0	1.0	0.0	3.0	458.0	7.0	7.0	0.0	2.0	4.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella
1080447	0.0	0.0	0.0	0.0	846.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae
215003	0.0	0.0	14.0	0.0	963.0	1.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia
5784	0.0	1.0	0.0	0.0	3.0	0.0	0.0	332.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
45591	0.0	1.0	0.0	5.0	0.0	11.0	9.0	0.0	228.0	451.0	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1); g__Granulicella
